PortNo,PortfolioName,PeriodEndDateType,PeriodEndDate,AccessionId,Report URL
113580,Dodge & Cox Stock,ANNUAL,31.12.2012,119312513079756,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312513079756&SequenceNum=1
113560,Dodge & Cox Balanced,ANNUAL,31.12.2012,119312513079756,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312513079756&SequenceNum=1
113570,Dodge & Cox Income Fund,ANNUAL,31.12.2012,119312513079756,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312513079756&SequenceNum=1
259790,Dodge & Cox Intl Stock,ANNUAL,31.12.2012,119312513079756,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312513079756&SequenceNum=1
771818,Dodge & Cox Global Stock,ANNUAL,31.12.2012,119312513079756,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312513079756&SequenceNum=1
113580,Dodge & Cox Stock,ANNUAL,31.12.2013,119312514072484,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514072484&SequenceNum=1
113560,Dodge & Cox Balanced,ANNUAL,31.12.2013,119312514072484,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514072484&SequenceNum=1
113570,Dodge & Cox Income Fund,ANNUAL,31.12.2013,119312514072484,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514072484&SequenceNum=1
259790,Dodge & Cox Intl Stock,ANNUAL,31.12.2013,119312514072484,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514072484&SequenceNum=1
771818,Dodge & Cox Global Stock,ANNUAL,31.12.2013,119312514072484,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514072484&SequenceNum=1
233310,Wealthbuilder Growth Balanced,ANNUAL,31.05.2014,119312514295480,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514295480&SequenceNum=1
233300,Wealthbuilder Equity,ANNUAL,31.05.2014,119312514295480,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514295480&SequenceNum=1
233320,Wealthbuilder Tactical Equity,ANNUAL,31.05.2014,119312514295480,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514295480&SequenceNum=1
767511,Wealthbuilder Conserv Alloc,ANNUAL,31.05.2014,119312514295480,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514295480&SequenceNum=1
767512,Wealthbuilder Growth Alloc,ANNUAL,31.05.2014,119312514295480,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514295480&SequenceNum=1
143150,Wells Fgo MN TxFr,ANNUAL,30.06.2014,119312514325207,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514325207&SequenceNum=1
143100,Wells Fgo CO TxFr,ANNUAL,30.06.2014,119312514325207,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514325207&SequenceNum=1
160150,Wells Fgo CA TxFr Bond,ANNUAL,30.06.2014,119312514325207,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514325207&SequenceNum=1
160160,Wells Fgo CA Ltd TxFr,ANNUAL,30.06.2014,119312514325207,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514325207&SequenceNum=1
279570,Wells Fgo Uti & Hi Inc,ANNUAL,31.08.2014,119312514386981,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514386981&SequenceNum=1
236290,Wells Fgo Core Plus,ANNUAL,31.08.2014,119312514386985,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514386985&SequenceNum=1
139000,Wells Fgo Short Govt Bond,ANNUAL,31.08.2014,119312514386985,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514386985&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312514391583,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391583&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312514391840,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391840&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312514391940,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514391940&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312514392054,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312514392054&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312515178587,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178587&SequenceNum=1
223650,GS FnclSq Treasury Instr MM,ANNUAL,31.08.2014,119312515178598,http://simfundfiling.com/Fundfiling/DocumentView/DocumentView.aspx?DocumentId=119312515178598&SequenceNum=1
