Accounting,Accounting fees
Accounting,Accounting Services
Administrator,Administration
Administrator,Administration and accounting fees
Administrator,Administration fees
Administrator,Administrative service fees
Amortization,Amortization of Offering Costs of Preferred Shares
Auction Fees,Auction agent fees and commissions
Audit,Audit and tax fees
Audit,Audit and tax services
Custodian,Custodian
Custodian,Custodian and accounting agent 
Custodian,custodian fee 
Custodian,custodian fees and expenses
Custodian,custody fees
Directors/Trustee Comp,Directors  fees and filing fees
Directors/Trustee Comp,Directors fees
Directors/Trustee Comp,Directors fees and expenses
Directors/Trustee Comp,Directors/trustees fees
Directors/Trustee Comp,Officer & Trustees
Directors/Trustee Comp,Trustee Fees & Expense
Directors/Trustee Comp,Trustee fees and related expenses
Directors/Trustee Comp,Trustees and officers fees and benefits 
Directors/Trustee Comp,Trustees fees
Directors/Trustee Comp,Trustees fees and expenses
Fund Accounting,Fund accounting fees
Insurance,Insurance
Interest Expense,Interest
Interest Expense,Interest and fees on loan
Interest Expense,Interest and fees on outstanding loan
Interest Expense,Interest expense
Interest Expense,Interest expense and amortization of offering costs
Interest Expense,interest expense and fees
Interest Expense,Interest expense and fees on borrowings
Interest Expense,Interest facilities and maintenance fees
Interest Expense,Interest expense and amortization of deferred offering costs on preferred shares
Legal and Accounting,legal and accounting services
Legal,Legal
Legal,Legal fees
Line of Credit,line of credit
Liquidity,Liquidity Fees
Listing Fees,New york stock exchange listing 
Listing Fees,Stock exchange listing fees
Miscellaneous/Other,Misc
Miscellaneous/Other,Miscellaneous
Miscellaneous/Other,Miscellaneous expense
Miscellaneous/Other,Other
Miscellaneous/Other,Other expenses
Miscellaneous/Other,Others
Offering Expenses,Offering
Offering Expenses,Shelf offering expenses
Payroll,Payroll expenses
Preferred Shares Service Fee,preferred shares service fee
"Printing, Postage, Mailings",Printing
"Printing, Postage, Mailings",printing and postage
"Printing, Postage, Mailings",Printing fees
"Printing, Postage, Mailings",Printing fees and expenses
Professional,Legal and audit fees
Professional,Professional
Professional,Professional fees
Ratings Fees,Rating Agency
Registration,Registration
Registration,registration and filing fees 
Registration,Registration fees
Remarketing,Remarketing fees
Remarketing - Preferred Shares,Remarketing Fees on Preferred Shares
Reorganization,Reorganization cost
Reorganization,reorganization expenses
Reporting ,financial reporting fees
Reports to Shareholders,Reports to shareholders
Reports to Shareholders,shareholder reporting expenses
Reports to Shareholders,Shareholder reporting fees
Reports to Shareholders,Shareholder reports
Shareholder communications,Shareholder communications
Shareholder communications,Shareholder communications expenses
Tax,Income tax
Transfer Agent,Servicing agent fees
Transfer Agent,Shareholder services fees
Transfer Agent,Shareholder servicing agent fees
Transfer Agent,TA fees
Transfer Agent,Transfer Agent
Transfer Agent,Transfer agent fees
Transfer Agent,Transfer agent fees and expenses
Transfer Agent,Transfer and dividend disbursing agent fees
Transfer Agent,Investor relations expenses
